family,genus,group,SRLI_2024_analysis,WCVP_status,WCVP_accepted_name,WCVP_current_id,RL_2000,RL_2010,RL_2020,RL_2000_10yr,RL_2010_10yr,RL_2020_10yr,RL_2000_20yr,RL_2010_20yr,RL_2020_20yr,RL_2000_30yr,RL_2010_30yr,RL_2020_30yr,Status_change,stats_change_A
Poaceae,Adenochloa,Monocots,include,Accepted,Adenochloa pole-evansii (C.E.Hubb.) Zuloaga,77149223-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Poaceae,Panicum,Monocots,exclude,Heterotypic_Synonym,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poaceae,Panicum,Monocots,include,Accepted,Panicum simile Domin,413138-1,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NA,NA
Poaceae,Renvoizea,Monocots,include,Accepted,Renvoizea vaginiviscosa (Renvoize & Zuloaga) Zuloaga & Morrone,60447893-2,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,Not_evaluated,Not_evaluated
Orchidaceae,Coelogyne,Monocots,include,Homotypic_Synonym,Coelogyne spathulata M.W.Chase & Schuit.,77220663-1,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,No_change,No_change
Fabaceae,Panurea,Legumes,include,Accepted,Panurea longifolia Spruce ex Benth.,512078-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Orchidaceae,Paphiopedilum,Monocots,include,Accepted,Paphiopedilum mastersianum (Rchb.f.) Stein,649797-1,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,No_change,No_change
Fabaceae,Parapiptadenia,Legumes,include,Accepted,Parapiptadenia zehntneri (Harms) M.P.Lima & H.C.Lima,282105-2,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,No_change,No_change
Poaceae,Paratheria,Monocots,include,Accepted,Paratheria glaberrima C.E.Hubb.,413706-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Parkia,Legumes,include,Accepted,Parkia bicolor A.Chev.,512183-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Parkia,Legumes,include,Accepted,Parkia paya H.C.Hopkins,1013781-1,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,Not_evaluated,Not_evaluated
Fabaceae,Parkia,Legumes,include,Accepted,Parkia sumatrana Miq.,512233-1,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,Not_evaluated,Not_evaluated
Fabaceae,Parkia,Legumes,include,Accepted,Parkia ulei (Harms) Kuhlm.,183280-2,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Poaceae,Paspalum,Monocots,include,Accepted,Paspalum acutifolium León,184133-2,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,No_change,No_change
Poaceae,Paspalum,Monocots,include,Accepted,Paspalum clavuliferum C.Wright,413971-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Poaceae,Paspalum,Monocots,include,Accepted,Paspalum densum Poir.,414053-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Poaceae,Paspalum,Monocots,include,Accepted,Paspalum distortum Chase,184281-2,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Poaceae,Paspalum,Monocots,exclude,Heterotypic_Synonym,Paspalum maculosum Trin.,414403-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Poaceae,Axonopus,Monocots,exclude,Heterotypic_Synonym,Axonopus scoparius (Flüggé) Kuhlm.,27415-2,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Poaceae,Paspalum,Monocots,include,Accepted,Paspalum leptachne Chase,184434-2,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,Not_evaluated,Not_evaluated
Poaceae,Paspalum,Monocots,include,Accepted,Paspalum niquelandiae Filg.,982464-1,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,Not_evaluated,Not_evaluated
Poaceae,Paspalum,Monocots,include,Accepted,Paspalum pilosum Lam.,182328-2,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NA,NA
Poaceae,Paspalum,Monocots,exclude,Heterotypic_Synonym,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poaceae,Paspalum,Monocots,include,Accepted,Paspalum repens P.J.Bergius,30475806-2,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Poaceae,Paspalum,Monocots,include,Accepted,Paspalum riparium Nees,414665-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Poaceae,Paspalum,Monocots,include,Accepted,Paspalum squamulatum E.Fourn.,414740-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Pearsonia,Legumes,include,Accepted,Pearsonia bracteata (Benth.) Polhill,512854-1,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,No_change,No_change
Orchidaceae,Bulbophyllum,Monocots,include,Accepted,"Bulbophyllum brachiatum (Schltr.) J.J.Verm., Schuit. & de Vogel",77140678-1,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,Not_evaluated,Not_evaluated
Orchidaceae,Bulbophyllum,Monocots,include,Accepted,"Bulbophyllum papuanum (Schltr.) J.J.Verm., Schuit. & de Vogel",77140693-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Pediomelum,Legumes,include,Accepted,Pediomelum aromaticum (Payson) W.A.Weber,186557-2,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Orchidaceae,Pelexia,Monocots,include,Accepted,Pelexia orthosepala (Rchb.f. & Warm.) Schltr.,186755-2,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Orchidaceae,Pelexia,Monocots,include,Accepted,Pelexia sceptrum Schltr.,186771-2,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,No_change,No_change
Fabaceae,Peltogyne,Legumes,include,Accepted,Peltogyne altissima Ducke,512975-1,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,Not_evaluated,Not_evaluated
Fabaceae,Peltogyne,Legumes,include,Accepted,Peltogyne discolor Vogel,512982-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Peltophorum,Legumes,include,Accepted,Peltophorum africanum Sond.,513010-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Orchidaceae,Pennilabium,Monocots,include,Accepted,Pennilabium angraecum (Ridl.) J.J.Sm.,650084-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Poaceae,Pennisetum,Monocots,exclude,Heterotypic_Synonym,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poaceae,Cenchrus,Monocots,include,Accepted,Cenchrus geniculatus Thunb.,395232-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Poaceae,Pentameris,Monocots,include,Accepted,Pentameris aristidoides (Thunb.) Galley & H.P.Linder,77111529-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Poaceae,Pentameris,Monocots,include,Accepted,Pentameris tomentella (Stapf) Galley & H.P.Linder,77111669-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Periandra,Legumes,include,Accepted,Periandra heterophylla Benth.,513061-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Periandra,Legumes,include,Accepted,Periandra mediterranea (Vell.) Taub.,190294-2,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Orchidaceae,Peristylus,Monocots,include,Accepted,Peristylus aristatus Lindl.,650167-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Orchidaceae,Peristylus,Monocots,include,Accepted,Peristylus trimenii (Hook.f.) Abeyw.,650312-1,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,No_change,No_change
