family,genus,group,SRLI_2024_analysis,WCVP_status,WCVP_accepted_name,WCVP_current_id,RL_2000,RL_2010,RL_2020,RL_2000_10yr,RL_2010_10yr,RL_2020_10yr,RL_2000_20yr,RL_2010_20yr,RL_2020_20yr,RL_2000_30yr,RL_2010_30yr,RL_2020_30yr,Status_change,stats_change_A
Fabaceae,Cojoba,Legumes,include,Homotypic_Synonym,Cojoba rufescens (Benth.) Britton & Rose,62892-2,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Pithecellobium,Legumes,include,Accepted,Pithecellobium striolatum Urb.,200816-2,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,No_change,No_change
Orchidaceae,Maxillaria,Monocots,include,Accepted,Maxillaria pinoides (H.R.Sweet) Molinari,77155175-1,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,No_change,No_change
Orchidaceae,Peristylus,Monocots,include,Accepted,"Peristylus biermannianus (King & Pantl.) X.H.Jin, Schuit. & W.T.Jin",77140827-1,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,Not_evaluated,Not_evaluated
Orchidaceae,Platanthera,Monocots,include,Accepted,Platanthera boninensis Koidz.,651675-1,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,No_change,No_change
Orchidaceae,Platanthera,Monocots,include,Accepted,Platanthera tipuloides (L.f.) Lindl.,30078241-2,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Orchidaceae,Platycoryne,Monocots,include,Accepted,Platycoryne mediocris Summerh.,652002-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Orchidaceae,Platylepis,Monocots,include,Accepted,Platylepis grandiflora (Schltr.) Ormerod,20010931-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Platylobium,Legumes,include,Accepted,Platylobium alternifolium F.Muell.,515192-1,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,No_change,No_change
Fabaceae,Platymiscium,Legumes,include,Accepted,Platymiscium dimorphandrum Donn.Sm.,515221-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Platymiscium,Legumes,include,Accepted,Platymiscium pubescens Micheli,515249-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
