Species_name	Collection_ID	Specimen_ID	Voucher_information	Specimen_URL
Chaetium festucoides	K	K000003879	Noblick, L.R. 2717	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000003879
Chaetocarpus castanicarpus	K	-	Kathriarachchi, H.S., Hoffmann, P., Galster, A. 25	
Chaetogastra echinata	NY	-	Michelangeli, F. A. 2672	
Chaetogastra longifolia	NY	-	Michelangeli, F. A. 2673	
Chaetolepis lindeniana	NY	-	Michelangeli, F. A. 1224	
Chaetopoa taylorii	K	K000281104	Milne-Redhead, E. 9684	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000281104
Chaetosciadium trichospermum	MSB	-	MSJK 306	
Chaetostachydium barbatum	K	-	Dransfield, J. 7548	
Chalybea macrocarpa	UPTC	-	Morales, M. E. 1734	
Chamabainia cuspidata	K	K000618245	Zhing-tao, W. 870226	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000618245
Chamaebatiaria millefolium	K	-	Chase, M.W. 17741	
Chamaecereus silvestrii	ZSS	85 1839 /2	de Vos, J.M. s.n. 	
Chamaeclitandra henriquesiana	UEC	-	Simoes s.n. 	
Chamaecostus subsessilis	K	K001393138	Pastore, J.F.B. 2506	
Chamaecrista absus	MEL	MEL 0287746A	Forster, P.I. 22635	
Chamaecrista fasciculata	-	-	-	
Chamaedendron xyridioides	NE	-	J.J. Bruhl 3260	
Chamaedorea alternans	K	-	Chase, M.W. 14837	
Chamaelirium luteum	K	K001275387	Coile, N.C.; Coile, R.J.; Smith, G.L. s.n. 	
Chamaemelum nobile	K	-	Fay, M.F. 180	
Chamaemelum nobile	-	-	-	
Chamaemespilus alpina	K	K000696360	Schönnswetter & Tribsch 604	
Chamaeranthemum tonduzii	K	K001446045	Zuñiga, R. 122	
Chamaeraphis hordeacea	BRI	AQ0729220	Thompson, E.J. WES1268	
Chamaerhodos erecta	-	-	-	
Chamaerops humilis	K	-	Barrow, S. 76	
Chamaesaracha rzedowskiana	NH	-	Lopez, Ch 546	
Chamaesaracha sp.	IEB	239777	SD49	
Chamaesciadium acaule	K	K000501985	Davis; Hedge 30577	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000501985
Chamaescilla spiralis	K	-	Dixon, K. W. 994	
Chamaesium paradoxum	-	-	-	
Chamaexeros serra	K	-	Dixon, K. W. KWD993	
Chamarea capensis	K	K000544172	Esterhuysen, E. 24302	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000544172
Chambeyronia divaricata	K	-	Pintaud, J.C. 300	
Chambeyronia macrocarpa	K	-	Pintaud, J.C. 512	
Chambeyronia magnifica	K	-	Pintaud, J.C. 346	
Chamelaucium uncinatum	K	K000065816	Rye, B.L.; Trudgen, M.E. 250703	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000065816
Chamguava schippii	K	-	Aguilar, D. 9833	
Chamira circaeoides	-	-	-	
Chamissoa maximiliani	MJG	-	Chen 416	
Champereia manillana	K	K000062238	Andan, D. 422	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000062238
Champluviera populifolia	K	K001061986	Tchiengue, B. 3613	
Chapelieria madagascariensis	K	-	Davis, A.P. 3082	
Chapmannia gracilis	K	-	A.G.Miller 10346	
Chaptalia nutans	BA	BA94627	Palazzesi, L. s.n. 	
Chardinia orientalis	K	-	Breidy, J.  LEB-341	
Charpentiera elliptica	MJG	-	Paul C. Hutchinson 2824	
Chasmanthe aethiopica	K	-	Chase, M.W. I-3	
Chasmanthera dependens	K	-	Maurin, O.; Biondi, E. 4424	
Chasmanthium latifolium	-	-	-	
Chasmatophyllum musculinum	K	-	Chase, M.W. 34730	
Chasmatophyllum sp.	NBG	-	LD65	
Chasmopodium caudatum	K	K000334904	Sokpo, S.O. 10	
Chaunochiton kappleri	K	-	Ratter, J.A. et al. 6696	
Cheiloclinium cognatum	HRCB	-	Lombardi, J.A. 6238	
Cheiloclinium hippocrateoides	HRCB	-	Lombardi, J.A. 7627	
Cheilosa montana	K	-	Sin. Coll. 20765	
Cheiranthera telfordii	NE	NE97168	I.R. Telford 13336	
Cheiridopsis namaquensis	K	-	Chase, M.W. 34731	
Cheirolophus crassifolius	BC	-	Hidalgo, O.	
Cheirolophus intybaceus	-	-	-	
Chelidonium majus	-	-	-	
Chelonopsis forrestii	K	-	RBG Kew Living Collection 1996-1582	
Chelyocarpus chuco	FTG	-	Bogler, D.  1254	
Chenopodiastrum murale	-	-	-	
Chenopodiastrum murale	K	-	Millenium Seed Bank 37437	
Chenopodium quinoa	-	-	-	
Chersodoma arequipensis	K	-	Rosas, M.  INIA-BB 389	
Chersodoma jodopappa	LPB	-	Pozo, P. 755	
Chesneya yunnanensis	K	K000556914	ACE760	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000556914
Chevreulia lycopodioides	K	K000649048	Lewis, R. 240 240	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000649048
Cheyniana microphylla	K	K000065817	Sweedman, L.S.J. 8070	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000065817
Chiangiodendron mexicanum	K	K000370316	Estrada, A.; Volio, E. 2170	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000370316
Chiliadenus glutinosus	K	-	Sanchez Agudo, J.A.; M. Santos Vicente, M.; Andres, S. 411	
Chiliotrichum rosmarinifolium	HTW	-	Hidalgo, O.; Gonzalez, C. & al. AR-29	
Chilocardamum patagonicum	MO	-	A. Donat  172	
Chilocarpus costatus	K	K	Yii et al. S.64973	
Chiloglottis cornuta	K	K000827725	Lyall, D. s.n. 	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000827725
Chiloglottis diphylla	CANB	CANB 677267	W.M.dowling 146	
Chiloglottis seminuda	-	-	-	
Chilopsis linearis	K	K001395047	Newman, M. 291	
Chiloschista phyllorhiza	CANB	CANB 599724	D.L.Jones|B.Gray 18945	
Chimaerochloa archboldii	K	K000709570	Takeuchi, W.; Towati, A.; Ama, D. 19655	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000709570
Chimaphila sp.	K	-	Chase, M.W. & Fay, M. 14584	
Chimarrhis latifolia	GB	-	Santamaría 945	
Chimonanthus praecox	K	K001275584	Chiao, C.Y. 2630	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275584
Chimonanthus salicifolius	-	-	-	
Chimonobambusa marmorea	KUN	-	YXY214	
Chimonobambusa sichuanensis	-	-	-	
Chimonocalamus pallens	-	-	-	
Chiococca alba	K	-	Greene, L. 11	
Chionanthus retusus	-	-	-	
Chione venosa	GB	-	Santamaría 942	
Chionocharis hookeri	K	-	Crawford et al. 571	
Chionochloa frigida	CANB	CANB 870738	Feilen, P. 32	
Chionochloa macra	-	-	-	
Chionochloa pallens	TCD	-	Hodkinson, T.R. 2180	
Chironia baccifera	K	-	Manning, J.C.;   Reeves, G. 2840	
Chiropetalum tricuspidatum	K	-	Sin. Coll. 2342	
Chisocheton pentandrus	K	-	Sinanggur, H.T. 57319	
Chitalpa tashkentensis	K	-	RB115	
Chlaenandra ovata	K	K001275715	Takeuchi, W. 6644	
Chlaenosciadium gardneri	K	K000370438	Melville, R. 138	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000370438
Chlamydacanthus lindavianus	K	K001295744	Luke, W.R.Q. 2941	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001295744
Chlamydocardia buettneri	K	K000197521	Cheek, M. 7655	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000197521
Chlidanthus boliviensis	-	-	-	
Chloanthes stoechadis	NSW	NSW996644	T.C.Wilson 763	
Chloothamnus elatus	KUN	-	DZL1505	
Chloraea magellanica	K	-	Ryan, A. 1	
Chloranthus spicatus	K	-	Chase, M.W. 38673	
Chloris gayana	-	-	-	
Chloris truncata	AD	AD259230	C.J. Brodie; T. Gurney; P. Duffield; N. Williams 4644	
Chlorocalymma cryptacanthum	K	K000190265	Bidgood, S. 5037	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000190265
Chlorocarpa pentaschista	K	K000591490	Silva, J.M. 147	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000591490
Chlorocrambe hastata	A	-	Tuhy 2478	
Chlorocyathus monteiroae	K	K000993592	Luke, P.A.; Luke, W.R.Q. 4493	
Chlorogalum pomeridianum	-	-	-	
Chlorophytum laxum	BRI	BRI AQ0797649	Neldner, V.J. 4892	
Chlorophytum rhizopendulum	-	-	-	
Choerospondias axillaris	K	-	JD Mitchell 652	
Choisya sp.	GOET	-	SEMJ 043	
Chomelia sp.	GB	-	Perez et al. 10770	
Chondrilla juncea	BC	-	Hidalgo, O. 345	
Chondropyxis halophila	CANB	CANB 344278	Eichler, Hj. 22969	
Chonemorpha fragrans	K	K	S. Gardner & P. Sidisanthorn ST2695	
Chordifex stenandrus	NSW	NSW364826	C.L. Porter s.n. 	
Choretrum glomeratum	K	K001393231	Lepschi, B.J.; Lally, T.R. 2301	
Choriantha popoviana	K	K000450574	Rawi, A.; Serhang, I. 23818	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000450574
Choriceras tricorne	CNS	CNS 131455	Costion, C. 1745	
Chorigyne cylindrica	-	-	-	
Chorigyne pendula	K	K001393173	Herrera, G. 8176	
Chorilaena quercifolia	MEL	MEL 2383575A	MJB1954	
Chorisandrachne diplosperma	K	K000187345	Middleton, D.J.; Suddee, S.; Hemrat, C. 1203	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000187345
Chorisochora transvaalensis	K	K001295742	Daniel, T.F. 9379	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001295742
Chorispora tenella	-	-	-	
Choritaenia capensis	K	K000370439	Hanekom, W.J. 1834	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000370439
Chorizandra cymbaria	K	-	Wilson 9738	
Chorizandra sphaerocephala	K	-	Bruhl, J.J. 1858	
Chorizanthe angustifolia	-	-	-	
Chorizema ilicifolium	MEL	MEL 2035046A	Archer, W.R. 2007954	
Chresta plantaginifolia	SPFR	-	de Lima Ferreira, P. 76	
Christia australasica	MEL	MEL 2380411A	Cowie, I.D. 13010	
Christiana africana	K	K001275769	Jongkind, C.C.H. 3147	
Christianella multiglandulosa	K	K001229013	Hatschbach, G.; Pott, A.; Pott, V.; Barbosa, E. 63726	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001229013
Christolea crassifolia	GH	-	Bartholomew 8237	
Chromolaena laevigata	BA	-	Guttierrez, D.G. 1336	
Chromolucuma rubriflora	K	-	Ducke 5914	
Chroniochilus virescens	K	K000546496	Beaman, J.H.; Beaman, R.S.; Beaman, T.E.; Decker, P.; Sutton, B. 10014	
Chrozophora tinctoria	K	-	Leonard 6361	
Chrysactinia mexicana	-	-	-	
Chrysactinium acaule	QCA	-	Madsen, J.E. 85615	
Chrysanthemum sp.	BC	-	Christenhusz, M.J.M KR-2016-1	
Chrysanthemum zawadzkii	BCN	-	Valles, J. CN-12	
Chryselium gnaphalioides	QCA	-	Holm-Nielsen, L. 28790	
Chrysitrix capensis	K	-	Muasya, A.M. s.n.; 40998	
Chrysobalanus icaco	K	-	Sothers, C.A. 1524	
Chrysobalanus icaco	-	-	-	
Chrysochloa hindsii	K	K001393105	William, E.V.  MSB311	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001393105
Chrysocoma ciliata	PRE	PRE273968	Koekemoer, M. 1382	
Chrysogonum virginianum	-	-	-	
Chrysojasminum fruticans	K	-	Hall, A. 207	
Chrysolaena desertorum	SPFR	-	de Lima Ferreira, P. 72	
Chrysophyllum cainito	-	-	-	
Chrysopogon aciculatus	-	-	-	
Chrysopogon latifolius	TCD	-	Hodkinson, T.R. 9256	
Chrysopsis scabrella	BC	-	Christenhusz, M.J.M. USA-I-2018	
Chrysosplenium pilosum	-	-	-	
Chrysothamnus greenei	K	-	Nelson, D; Murray, S AZ932-005	
Chrysothemis friedrichsthaliana	-	-	-	
Chthonocephalus pseudevax	K	-	Christenhusz, M.J.M 6428	
Chukrasia tabularis	K	K001275564	Meijer 320	
Chuniophoenix nana	K	-	Bayton, R.P. 1A	
Chuquiraga jussieui	QCA	-	Irazabal, R.J. 309	
Chuquiraga straminea	HTW	-	Hidalgo, O.; Gonzalez, C. & al. AR-53	
Chusquea coronalis	-	-	-	
Chusquea culeou	-	-	-	
Chusquea gigantea	-	-	-	
Chusquea liebmannii	-	-	-	
Chusquea simpliciflora	-	-	-	
Chydenanthus excelsus	K	-	Chase, M.W. 1298	
Chylismia claviformis	K	K001275322	Charlston, D. 1359	
Chysis bractescens	K	-	Chase, M.W. O-558	
Cibirhiza dhofarensis	K	K000993591	Miller, A.G.; Nyberg, J.A. M.9205B	
Cicer arietinum	-	-	-	
Cicer pungens	K	-	Maxted et al. 8015	
Cicerbita plumieri	-	-	-	
Cicerbita plumieri	BC	-	Hidalgo, O. JBAL-07-VII-2017-1	
Cichorium intybus	BC	-	Hidalgo, O. 265	
Ciliosemina pedunculata	GB	-	Persson et al. 1803	
Cinchona calisaya	-	-	-	
Cinchona pubescens	K	-	Maurin, O. 4385	
Cinchonopsis amazonica	GB	-	Antonelli, A. 244	
Cincinnobotrys felicis	K	K001253772	Haba, P.M.; van der Burgt, X.; Diallo, A. 438	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001253772
Cineraria lobata	PRE	PRE577337	Koekemoer, M. 2327	
Cineraria sp.	K	-	Savolainen, V. & Powell, M. 1602	
Cinnadenia paniculata	K	K000705428	Nguyen, V.D. 1432	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000705428
Cinnagrostis sp.	US	US 04006042	Solomon, J.C. 13638	
Cinnamodendron dinisii	K	K001275752	Silva, J.M.; Lucas, E.; Mazine, F.F. 3775	
Cinnamomum camphora	-	-	-	
Cinnastrum poiforme	MO	MO-2311332	Acha, S. 208	
Cionosicys macranthus	TUM	-	Schaefer, H.  2014/319	
Cionura erecta	K	K000993590	Cheese, M.J.; Albury, C.; Watson 1795	
Cipadessa baccifera	K	-	Chase, M.W. 249	
Cipocereus pusilliflorus	ZSS	80 3255 /0	de Vos, J.M. s.n.; 80 3255 /0	
Cipura campanulata	K	-	Henrich 143	
Cipuropsis capituligera	-	-	-	
Cipuropsis subandina	WU	WU-0027605	WU-0027605	
Circaeaster agrestis	K	K001275287	Dickore, B. 3480	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275287
Cirrhaea dependens	K	-	Glaziou, A. 14323	
Cirsium eriophorum	NHMR	2505	Balant, M. 115	
Cirsium pannonicum	K	-	Pegoraro, L. IT34	
Cirsium pitcheri	BC	-	Christenhusz, M.J.M. 7567	
Cirsium vulgare	BC	-	Hidalgo, O. 263	
Cissampelos capensis	K	-	Chase, M.W. 6584	
Cissampelos pareira	BRI	BRI AQ0916127	BMW8106	
Cissus antarctica	K	K000801172	Whaite, T.: Whaite, J. 3471	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000801172
Cissus heyneana	K	-	Blasi, A, T. 48	
Cissus mirabilis	K	K000801171	Ekman, E.L. 4809	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000801171
Cissus quadrangularis	-	-	-	
Cistanche deserticola	-	-	-	
Cistanthe grandiflora	-	-	-	
Cistus incanus	-	-	-	
Cistus inflatus	-	-	-	
Citharexylum spinosum	K	-	Hamilton, M. 541	
Citronella mucronata	K	K000987000	Baxter, P.; Gardner, M.F.; Hechenleitner, P.; Thomas, P.I.; Zamorano, C. DCI 1828	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000987000
Citronella paniculata	K	-	Stefano, Duno de 508	
Citropsis articulata	K	K001275533	Bidgood et al. 4797	
Citrullus ecirrhosus	L	-	Werger, M. J. A.  175	
Citrus hystrix	GOET	-	SEMJ 044	
Citrus sp.	-	-	-	
Citrus sp.	-	-	-	
Cladanthus scariosus	BC	-	Hidalgo, O. JBB-V-2017-2	
Claderia viridiflora	K	-	Maingay, A.C. 3294	
Cladium mariscus	GENT	-	1981 0061	
Cladogelonium madagascariense	K	-	Nusbaumer, L.;  Ranirison, P. 1573	
Cladogynos orientalis	K	-	Shimizy, T et al. 8062	
Cladopus pierrei	TNS	-	Koi, S.; Wongpasert, T. 214	
Cladopus queenslandicus	TNS	-	Kato, M.; Yamada, T. 101	
Cladoraphis spinosa	K	K001393127	De Winter, I.; Hardy.  3143	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001393127
Cladrastis kentukea	-	-	-	
Claoxylon perrieri	K	-	Ralimanana, H., Rakotonasolo, F. , Beentje, H., Benoit, Defa, Francis, David 370	
Clappertonia ficifolia	K	K001340976	Sanou 420	
Clarisia racemosa	K	K000618272	Palacios, W.; Neill, D. 1291	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000618272
Clarkia purpurea	K	K001275321	Cowan, K. s.n. 	
Clausena excavata	K	-	Chase, M.W. 1343	
Clausena excavata	-	-	-	
Clausia aprica	-	-	-	
Clausospicula extensa	DNA	DNA D0151636	Michell, C.R. 3658	
Clavija sp.	-	-	-	
Claytonia nevadensis	-	-	-	
Cleidiocarpon laurinum	K	-	Larsen, K. 9390	
Cleisocentron merrillianum	K	K000546409	Collenette, S. 597	
Cleisocentron pallens	K	K000546412	H.K. s.n. 	
Cleisomeria lanata	K	K000546401	Leboeuf, G. s.n. 	
Cleisomeria pilosula	K	K000546400	Seidenfaden, G.; Smitinand, T. 4055	
Cleisostoma discolor	CBG	CBG 8412611	B.A. Mitchell 49	
Cleisostoma inflatum	K	K000546394	Lamb, A. SAN 93453	
Cleisostoma sagittatum	K	K000546397	Comber, J.B. 1231	
Cleisostoma scortechinii	K	K000546396	Lamb, A.; Kemerler, J.J. 947/88	
Cleisostoma williamsonii	K	K000546390	Dorji, Y.; Pearce, N.; Cribb, P. 22	
Cleistachne sorghoides	K	K001418281	Friis, I. 7073	
Cleistanthus cunninghamii	NSW	NSW881441	R. Johnstone, G. Errington, & K. Kupsch 3574	
Cleistocactus baumannii	ZSS	99 9185 /a	de Vos, J.M. s.n.; 99 9185 /a	
Cleistocactus chrysocephalus	ZSS	85 1468 /1b	de Vos, J.M. s.n. 	
Cleistocactus hyalacanthus	K	-	RBG Kew Living Collection 1999-3627	
Cleistocactus samaipatanus	ZSS	84 1075 /0	de Vos, J.M. s.n.; 84 1075 /0	
Cleistocactus winteri	ZSS	80 3277 /0	de Vos, J.M. s.n.; 80 3277 /0	
Cleistochloa subjuncea	BRI	AQ0832099	Thompson, E.J. 473	
Cleistogenes serotina	TCD	-	Hodkinson, T.R. 2092	
Cleistogenes songorica	-	-	-	
Cleistopholis staudtii	L	-	Couvreur, T.L.P. 570	
Clematicissus angustissima	K	-	Chase, M.W. 2202	
Clematicissus opaca	CNS	CNS 147827.1	Kemp, J.E. 18322	
Clematicissus striata	K	K000801164	Schmid, R. 1980-106	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000801164
Clematis sp.	K	-	RBG Kew DNA Bank 82078	
Clematis vitalba	-	-	-	
Clematoclethra scandens subsp. actinidioides	K	-	Chase, M.W. 596	
Cleome bororensis	K	K001236215	Bidgood, S.; Abdallah, R.; Vollesen K. 1651	
Cleome gynandra	-	-	-	
Cleome microaustralica	K	K000370577	Specht, R.L. 395	
Cleome violacea	-	-	-	
Cleome viscosa	-	-	-	
Cleomella perennis	K	K001294787	Palmer, Dr. E. 326	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001294787
Cleomella serrulata	-	-	-	
Cleretum papulosum	NH	-	Balele, K. 11	
Cleretum sp.	NBG	-	LD4	
Clerodendrum trichotomum	K	-	Chase, M.W. 17893	
Clethra arborea	K	-	RBG Kew Living Collection 1987-4005	
Cleyera japonica	K	-	Chase, M.W. 1690	
Cleyera japonica	-	-	-	
Clibadium erosum	K	-	Puerto Rico Dept of Natural Resources and Environment 1914	
Cliftonia monophylla	K	K001275453	Wunderline, R.; Hansen, B.F. 10270	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275453
Climacoptera transoxana	M	-	Podlech, D. 17.008	
Clinacanthus nutans	K	K001446055	Lau, C.P. 87	
Clinacanthus robinsoni	K	K001446056	Squires, R.W. 843	
Clinanthus coccineus	-	-	-	
Clinanthus incarnatus	K	-	Newitt, J. 1	
Clinopodium serpyllifolium	-	-	-	
Clinosperma vaginata	K	-	Pintaud, J.C. 514	
Clinostigma ponapense	K	-	Baker, W.J. 1430	
Clintonia udensis	K	K000568671	Borosova, R., Guo, Y., Landrein, S., Liu, C. & Osborne, J. 10CS2224	
Clitandra cymulosa	K	K001334235	Lye 1133	
Clitoria australis	MEL	MEL 2419972A	Handasyde, T. 5051	
Clitoria ternatea	-	-	-	
Clivia miniata	-	-	-	
Clivia nobilis	K	-	Chase, M.W. 3080	
Cloezia buxifolia	K	-	RBG Kew DNA Bank 41453	
Clusia rosea	-	-	-	
Clutia ericoides	K	-	Manning, J.C.;   Reeves, G. 2831	
Clutia pulchella	-	-	-	
Clypeola jonthlaspi	-	-	-	
Cneoridium dumosum	GOET	-	Freund 76	
Cneorum tricoccon	GOET	-	SEMJ 046	
Cnesmocarpon dasyantha	BM	-	Forbes s.n. 	
Cnesmone javanica	K	-	Sorsen, T.; Larsen, K.;  Hansen, B. 691	
Cnestidium rufescens	K	K000648333	Jimenez, Q. 1652	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000648333
Cnestis bomiensis	L	WAG.1440479	Jongkind & students of the Université de Cocody 4475	
Cnestis ferruginea	L	WAG.1441230	Haba, Bilivogui;  Traoré 80	
Cnestis palala	P	P05614477	Larsen, K. 8223	
Cnestis polyphylla	K	-	Styles, D.G.A. 2365	
Cnestis uncata	P	P05613855	Breteler & Lemmens 8393	
Cnicothamnus lorentzii	BA	BA94624	Palazzesi, L. s.n. 	
Cnidium silaifolium	K	K001275347	Jedd, H.G. 1523	
Cnidoscolus cnicodendron	K	-	Mendoza, M.;  Calzadilla, E. 789	
Cobaea scandens	K	-	Chase, M.W. 961	
Cobana guatemalensis	K	-	Rodríguez A. et al. 2831	
Coccinia sessilifolia	TUM	-	Renner, S. S. , Omlor, R. , Hausner, G.  2763	
Coccocypselum sp.	GB	-	Rova et al. 2214	
Coccoloba uvifera	-	-	-	
Cocconerion balansae	K	-	Mckee, H.S. 29455	
Coccothrinax argentata	K	-	RBG Kew Living Collection 1973-12608	
Cocculus orbiculatus	K	-	Leon, C.J. et al 486	
Cochemiea conoidea	K	-	RBG Kew Living Collection 1998-366	
Cochlearia officinalis	-	-	-	
Cochliasanthus caracalla	K	K000556885	Wood, J.T.I.; Mendoza, M; Vidal, D. 19658	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000556885
Cochliostema odoratissimum	K	K001275403	Valverde, O.; Hernandez, S. 1224	
Cochlospermum intermedium	K	-	JM Fay 1963	
Cocos nucifera	K	-	Chase, M.W. 34489	
Codariocalyx motorius	-	-	-	
Codia montana	K	-	Pillon, Y. 225	
Codiaeum variegatum	K	-	Takeuchi, W.;  Ama, D. 16302	
Codiocarpus merrittii	K	K000517862	Madulid; Majaducon 62	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000517862
Codon royenii	-	-	-	
Codon schenckii	K	K001275289	Seydel, R. 2968	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275289
Codonanthe gracilis	K	K001275943	Hatchsbach, G. 76714	
Codonanthopsis elegans	-	-	-	
Codonocarpus cotinifolius	PERTH	PERTH 8898766	Trickett, P. DD1459	
Codonopsis lanceolata	K	-	Chase, M.W. 17537	
Codonopsis lanceolata	-	-	-	
Codonopsis pilosula	K	-	Leon, C.J. & Lin, Y.-L. 812	
Codonorhiza corymbosa	K	-	Goldblatt, P.;  Manning, J.C. s.n.; 38730	
Coelachne pulchella	BRI	BRI AQ0911559	Jensen, R. 2743	
Coelia triptera	K	-	Chase, M.W. 82189	
Coeliopsis hyacinthosma	K	-	Pupulin, F. 4377	
Coelocaryon preussii	N	-	Couvreur, T.L.P. 1209	
Coelogyne alaticallosa	K	-	A. Lamb 351	
Coelogyne cristata	K	-	Chase, M.W. 18852	
Coelogyne entomophobia	K	-	Lamb, A. 859	
Coelogyne fimbriata	K	-	OAPE21	
Coelogyne sulphurea	K	-	Meyers H46183	
Coeloneurum ferrugineum	UPR	-	Santiago-Valentin, E.   93-201 	
Coelospermum paniculatum	K	K000062247	McDonald, W.J.; Fell, D.G.; Stanton, J.P. 4525	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000062247
Coffea brassii	BRI	-	Nelder, J.R.C. & V.J.N. 8463	
Coffea canephora	-	-	-	
Coffea sp.	BR	-	Briggs 197880061	
Cogniauxia podolaena	M	-	Breteler, F. J.  14070	
Coincya tournefortii	-	-	-	
Coix lacryma-jobi	-	-	-	
Colanthelia rhizantha	K	K001106376	Hatschbach, G. 48104	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001106376
Colchicum autumnale	-	-	-	
Colchicum gramineum	K	-	Chase, M.W. 2263	
Colchicum speciosum	K	-	RBG Kew DNA Bank 27044	
Coldenia procumbens	MEL	MEL 2441170A	Wannan, B.S. 2321	
Coldenia procumbens	-	-	-	
Colea floribunda	K	K000370427	Labat, J.-N.; Randrianjohany, E.; Andrianantoanina, O. 2805	
Coleanthus subtilis	-	-	-	
Coleataenia prionitis	SI	SI-041572	Morrone, O. 6195	
Coleocarya gracilis	NSW	NSW401500 	B.G. Briggs 9420	
Coleocephalocereus aureus	ZSS	82 2541 /b	de Vos, J.M. s.n. 	
Coleocephalocereus fluminensis	ZSS	88 1544 /b	de Vos, J.M. s.n.; 88 1544 /b	
Coleochloa abyssinica	K	-	Vollesen 80/2	
Coleochloa setifera	-	-	-	
Coleocoma centaurea	CANB	CANB 221234	Dunlop, C.R. 2127	
Coleonema pulchellum	K	-	SEMJ 191	
Coleostephus myconis	BC	BC879743	Candido, M. 2052	
Coleotrype madagascarica	K	K001393161	Rakotovao, C. 3847	
Coleus articulatus	K	-	Goyder, D. J. et al. 3904	
Coleus livingstonei	K	-	Nat. Bot. Gard., S. Africa s.n.; 1999-2426	
Coleus pallidus	K	-	S Suddee et al 1080	
Coleus scutellarioides	-	-	-	
Coleus scutellarioides	K	K000172225	Willis, F.R. 125	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000172225
Colignonia ovalifolia	-	-	-	
Colletoecema tortistilum	K	-	Lisowski, S. 47195	
Colletogyne perrieri	NCY	NCY020710	Ferry, G. s.n.; 2014.3.331	
Collinsia linearis	-	-	-	
Collomia grandiflora	K	K001275447	Brummit, R.K.; Ertter, B.; Davidson, C. 21879	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275447
Colobanthus apetalus	AD	AD251507	D.J. Duval; J. Guerin 2241	
Colobanthus quitensis	-	-	-	
Colocasia esculenta	K	-	Chase, M.W. 10669	
Colona aequilateralis	K	K000224958	Gideon 20343	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000224958
Colophospermum mopane	K	-	A. Heath & R. Heath 766	
Colpodium hedbergii	K	K001418190	Hedberg, O. 5361	
Colpothrinax aphanopetala	K	-	Henderson & Herrera 702 702	
Colquhounia coccinea	K	-	Chase, M.W. 43075	
Colquhounia coccinea	-	-	-	
Colubrina asiatica	K	-	Chase, M.W. 905	
Columellia oblonga	-	-	-	
Columnea arguta	-	-	-	
Columnea scandens	K	K001208585	Beard, P. 1241	
Coluria longifolia	K	K001393252	Chamberlain, D.; Grey-Wilson, C.; Li, Y.; McBeath, R.; Schilling, A.; Xu, T.; Yuan, H. 1097	
Colutea arborescens	-	-	-	
Colutea orientalis	ASU	-	WOJ 406	
Comanthera paepalophylla	K	K000292874	Ganev, W. 922	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000292874
Comanthosphace japonica	No data	-	Chase, M.W. 43072	
