Taxon,Threat status,EDGE,ED,EDGE_rank,ED_rank
Cycas montana,NE,1.82,6.37,110,576
Ephedra khurikensis,DD,1.82,6.37,111,577
Encephalartos cerinus,CR,1.82,6.35,112,578
Cycas szechuanensis,CR,1.81,6.27,113,595
Ephedra pentandra,NE,1.81,6.27,114,598
Zamia urep,CR,1.78,6.12,115,618
Cycas annaikalensis,CR,1.77,6.06,116,624
Cycas indica,NE,1.77,6.06,117,625
Juniperus macrocarpa,NE,1.77,6.03,118,626
Cycas hoabinhensis,EN,1.77,13.92,119,199
Pinus nelsonii,EN,1.76,13.89,120,200
Ephedra vvedenskyi,NE,1.76,6,121,630
Zamia nesophila,NE,1.76,5.99,122,631
Zamia wallisii,CR,1.76,5.97,123,636
Ephedra tilhoana,DD,1.75,5.96,124,637
Cupressus pendula,DD,1.75,5.96,125,638
Cupressus tonkinensis,NE,1.75,5.96,126,639
Zamia inermis,CR,1.75,5.93,127,644
Ceratozamia kuesteriana,CR,1.75,5.92,128,645
Zamia nana,NE,1.75,5.92,129,646
Ceratozamia zaragozae,CR,1.74,5.88,130,649
Podocarpus ramosii,DD,1.74,5.86,131,652
Zamia oligodonta,DD,1.73,5.82,132,663
Podocarpus beecherae,NE,1.73,5.8,133,664
Zamia disodon,CR,1.72,5.75,134,667
Juniperus deltoides,NE,1.71,5.69,135,674
Zamia stevensonii,NE,1.71,5.69,136,675
Cycas vespertilio,NE,1.7,5.65,137,679
Zamia restrepoi,CR,1.7,5.65,138,681
Parasitaxus ustus,VU,1.7,109.34,139,6
Cycas sphaerica,DD,1.7,5.62,140,684
Zamia onan-reyesii,NE,1.7,5.62,141,687
Zamia gentryi,CR,1.69,5.6,142,691
Zamia tolimensis,NE,1.69,5.57,143,696
Podocarpus annamiensis,NE,1.69,5.57,144,697
Zamia montana,CR,1.69,5.57,145,698
Zamia gomeziana,NE,1.69,5.57,146,699
Zamia amplifolia,CR,1.68,5.56,147,702
Zamia imperialis,NE,1.68,5.55,148,704
Zamia macrochiera,CR,1.68,5.53,149,710
Podocarpus subtropicalis,DD,1.68,5.53,150,712
Zamia pyrophylla,NE,1.68,5.51,151,714
Zamia grijalvensis,NE,1.67,5.48,152,721
Zamia meermanii,NE,1.67,5.47,153,722
Gnetum oxycarpum,EN,1.67,12.64,154,216
Zamia lindenii,NE,1.66,5.45,155,733
Juniperus polycarpos,NE,1.66,5.43,156,737
Zamia decumbens,NE,1.65,5.39,157,743
Abies beshanzuensis,CR,1.65,5.36,158,744
Abies jaliscana,NE,1.65,5.34,159,746
Ceratozamia fuscoviridis,CR,1.64,5.34,160,747
Encephalartos heenanii,CR,1.64,5.31,161,751
Zamia lindleyi,NE,1.64,5.3,162,753
Dioon caputoi,EN,1.63,12.14,163,226
Ceratozamia decumbens,NE,1.63,5.25,164,755
Encephalartos brevifoliolatus,EW,1.62,5.22,165,759
Zamia incognita,NE,1.62,5.21,166,760
Thuja sutchuenensis,EN,1.62,12.03,167,229
Ephedra oxyphylla,NE,1.62,5.21,168,762
Ephedra holoptera,NE,1.62,5.2,169,764
Ceratozamia robusta,EN,1.61,11.94,170,232
