"","powo_id","family","genus","species","taxon_name","taxon_authors","RL.cat","EDGE.median","ED.median","lifeform_description","accepted_plant_name_id","group"
"1020","319667-2","Zamiaceae","Zamia","elegantissima","Zamia elegantissima","Schutzman, Vovides & R.S.Adams","EN",2.197737767,4.879372897,"perennial or subshrub",378887,"Gymnosperms"
"1021","20009734-1","Zamiaceae","Zamia","encephalartoides","Zamia encephalartoides","D.W.Stev.","EN",1.792925629,3.828605253,"subshrub",378871,"Gymnosperms"
"1022","270517-2","Zamiaceae","Zamia","erosa","Zamia erosa","O.F.Cook & G.N.Collins","VU",0.924081126,4.215788079,"subshrub",378938,"Gymnosperms"
"1023","270518-2","Zamiaceae","Zamia","fairchildiana","Zamia fairchildiana","L.D.Gómez","NT",0.123049169,1.03594537,"subshrub or shrub",378873,"Gymnosperms"
"1024","871791-1","Zamiaceae","Zamia","fischeri","Zamia fischeri","Miq. ex Lem.","EN",1.447483351,3.443202805,"subshrub",378875,"Gymnosperms"
"1025","270522-2","Zamiaceae","Zamia","furfuracea","Zamia furfuracea","L.f. ex Aiton","EN",0.420232224,0.912991649,"subshrub",378868,"Gymnosperms"
"1026","315483-2","Zamiaceae","Zamia","gentryi","Zamia gentryi","Dodson","EN",1.498084804,3.185469503,"subshrub",378909,"Gymnosperms"
"1027","60457402-2","Zamiaceae","Zamia","gomeziana","Zamia gomeziana","R.H.Acuña","NT",0.379579946,2.990706482,"subshrub",468344,"Gymnosperms"
"1028","77123077-1","Zamiaceae","Zamia","grijalvensis","Zamia grijalvensis","Pérez-Farr., Vovides & Mart.-Camilo","CR",2.786920183,3.122846766,"subshrub",474765,"Gymnosperms"
"1029","77094710-1","Zamiaceae","Zamia","hamannii","Zamia hamannii","A.S.Taylor, J.L.Haynes & Holzman","VU",0.684298793,2.690946472,"subshrub",381611,"Gymnosperms"
"1030","270526-2","Zamiaceae","Zamia","herrerae","Zamia herrerae","Calderón & Standl.","VU",0.268985943,1.161925032,"subshrub",378916,"Gymnosperms"
"1031","20009735-1","Zamiaceae","Zamia","hymenophyllidia","Zamia hymenophyllidia","D.W.Stev.","LC",0.338584104,7.349221526,"subshrub",378899,"Gymnosperms"
"1032","77094712-1","Zamiaceae","Zamia","imperialis","Zamia imperialis","A.S.Taylor, J.L.Haynes & Holzman","EN",1.518779435,3.207045955,"subshrub",381612,"Gymnosperms"
"1033","77103615-1","Zamiaceae","Zamia","incognita","Zamia incognita","A.Lindstr. & Idarraga","EN",1.366578283,3.047287191,"subshrub",462007,"Gymnosperms"
"1034","903407-1","Zamiaceae","Zamia","inermis","Zamia inermis","Vovides, J.D.Rees & Vázq.Torres","CR",3.472625702,3.760895137,"subshrub",378897,"Gymnosperms"
"1035","270527-2","Zamiaceae","Zamia","integrifolia","Zamia integrifolia","L.f.","NT",0.486837954,4.19934322,"subshrub",378895,"Gymnosperms"
"1036","301987-2","Zamiaceae","Zamia","ipetiensis","Zamia ipetiensis","D.W.Stev.","EN",2.131699479,4.936733625,"subshrub",378896,"Gymnosperms"
"1037","317130-2","Zamiaceae","Zamia","lacandona","Zamia lacandona","Schutzman & Vovides","EN",0.320586309,0.709032746,"subshrub",378901,"Gymnosperms"
"1038","270531-2","Zamiaceae","Zamia","lecointei","Zamia lecointei","Ducke","LC",0.209392774,3.841062415,"subshrub",378853,"Gymnosperms"
"1039","297321-1","Zamiaceae","Zamia","lindenii","Zamia lindenii","Regel ex André","EN",1.458264398,3.140397082,"shrub or tree",378830,"Gymnosperms"
"1040","297323-1","Zamiaceae","Zamia","lindleyi","Zamia lindleyi","Warsz. ex A.Dietr.","EN",1.189128609,2.678382568,"subshrub",378841,"Gymnosperms"
"1041","297327-1","Zamiaceae","Zamia","loddigesii","Zamia loddigesii","Miq.","NT",0.124616188,1.035335934,"subshrub",378836,"Gymnosperms"
"1042","270540-2","Zamiaceae","Zamia","lucayana","Zamia lucayana","Britton","CR",2.72060475,3.060097447,"subshrub",378838,"Gymnosperms"
"1043","60430713-2","Zamiaceae","Zamia","macrochiera","Zamia macrochiera","D.W.Stev.","EN",1.386533469,2.858284969,"subshrub",378935,"Gymnosperms"
"1044","297335-1","Zamiaceae","Zamia","manicata","Zamia manicata","Linden ex Regel","NT",0.407235715,3.432336555,"subshrub",378813,"Gymnosperms"
"1045","60452463-2","Zamiaceae","Zamia","meermanii","Zamia meermanii","Calonje","EN",1.545434556,3.169554391,"subshrub",459758,"Gymnosperms"
"1046","20009736-1","Zamiaceae","Zamia","melanorrhachis","Zamia melanorrhachis","D.W.Stev.","EN",1.373195919,2.962939063,"subshrub",378815,"Gymnosperms"
"1047","297340-1","Zamiaceae","Zamia","montana","Zamia montana","A.Braun","CR",2.978741037,3.233314247,"subshrub or shrub",378820,"Gymnosperms"
"1048","270550-2","Zamiaceae","Zamia","monticola","Zamia monticola","Chamb.","CR",2.595005244,2.828293512,"subshrub",378821,"Gymnosperms"
"1049","270552-2","Zamiaceae","Zamia","muricata","Zamia muricata","Willd.","LC",0.180766256,3.841711228,"subshrub",378823,"Gymnosperms"
"1050","77128872-1","Zamiaceae","Zamia","nana","Zamia nana","A.Lindstr., Calonje, D.W.Stev. & A.S.Taylor","EN",1.476181431,3.125234739,NA,493663,"Gymnosperms"
"1051","77094711-1","Zamiaceae","Zamia","nesophila","Zamia nesophila","A.S.Taylor, J.L.Haynes & Holzman","CR",3.211539856,3.780776956,"subshrub",381613,"Gymnosperms"
"1052","301988-2","Zamiaceae","Zamia","neurophyllidia","Zamia neurophyllidia","D.W.Stev.","LC",0.23545687,4.983065,"subshrub or shrub",378825,"Gymnosperms"
"1053","297347-1","Zamiaceae","Zamia","obliqua","Zamia obliqua","A.Braun","LC",0.35339352,8.814930858,"subshrub or shrub",378840,"Gymnosperms"
"1054","60427055-2","Zamiaceae","Zamia","oligodonta","Zamia oligodonta","Calderón & D.W.Stev.","CR",2.871084616,3.053697784,"perennial or subshrub",378948,"Gymnosperms"
"1055","77097838-1","Zamiaceae","Zamia","onan-reyesii","Zamia onan-reyesii","C.Nelson & Sandoval","EN",1.455411538,2.913228862,"subshrub",459759,"Gymnosperms"
"1056","77097835-1","Zamiaceae","Zamia","oreillyi","Zamia oreillyi","C.Nelson","CR",2.843395736,3.08928548,"subshrub",459760,"Gymnosperms"
"1057","77177115-1","Zamiaceae","Zamia","paucijuga","Zamia paucijuga","Wieland","NT",0.26307971,2.283856723,"subshrub",386716,"Gymnosperms"
"1058","270556-2","Zamiaceae","Zamia","poeppigiana","Zamia poeppigiana","Mart. & Eichler","LC",0.237471677,5.028893132,"shrub",378859,"Gymnosperms"
"1059","270557-2","Zamiaceae","Zamia","portoricensis","Zamia portoricensis","Urb.","EN",1.543880316,3.54306319,"subshrub",378861,"Gymnosperms"
"1060","297357-1","Zamiaceae","Zamia","prasina","Zamia prasina","W.Bull","LC",0.043476307,0.728265401,"subshrub",378863,"Gymnosperms"
"1061","270558-2","Zamiaceae","Zamia","pseudomonticola","Zamia pseudomonticola","L.D.Gómez","LC",0.068121934,1.043499342,"subshrub",378866,"Gymnosperms"
"1062","297360-1","Zamiaceae","Zamia","pseudoparasitica","Zamia pseudoparasitica","J.Yates","NT",0.885808506,7.463331549,"epiphytic subshrub",378865,"Gymnosperms"
"1063","270561-2","Zamiaceae","Zamia","pumila","Zamia pumila","L.","VU",0.74993172,3.358749854,"subshrub",378846,"Gymnosperms"
"1064","903408-1","Zamiaceae","Zamia","purpurea","Zamia purpurea","Vovides, J.D.Rees & Vázq.Torres","CR",0.558362222,0.580968037,"subshrub",378851,"Gymnosperms"
"1065","270563-2","Zamiaceae","Zamia","pygmaea","Zamia pygmaea","Sims","EN",2.05549968,4.636781021,"subshrub",378845,"Gymnosperms"
"1066","77106614-1","Zamiaceae","Zamia","pyrophylla","Zamia pyrophylla","Calonje, D.W.Stev. & A.Lindstr.","CR",2.915178183,2.997230825,"subshrub",462009,"Gymnosperms"
"1067","77097814-1","Zamiaceae","Zamia","restrepoi","Zamia restrepoi","(D.W.Stev.) A.Lindstr.","CR",2.820668433,3.30941649,"subshrub",459761,"Gymnosperms"
"1068","297372-1","Zamiaceae","Zamia","roezlii","Zamia roezlii","Regel ex Linden","LC",0.152896986,2.959511208,"subshrub or shrub",378848,"Gymnosperms"
"1069","77097834-1","Zamiaceae","Zamia","sandovalii","Zamia sandovalii","C.Nelson","EN",1.653372909,3.325643689,"subshrub or lithophyte",459762,"Gymnosperms"
"1070","297378-1","Zamiaceae","Zamia","skinneri","Zamia skinneri","Warsz. ex A.Dietr.","EN",1.431025723,3.154597561,"subshrub or shrub",378785,"Gymnosperms"
"1071","287153-2","Zamiaceae","Zamia","soconuscensis","Zamia soconuscensis","Schutzman, Vovides & Dehgan","EN",2.526368847,6.586670637,"subshrub",378767,"Gymnosperms"
"1072","270570-2","Zamiaceae","Zamia","spartea","Zamia spartea","A.DC.","CR",5.835371516,7.130116711,"subshrub",378769,"Gymnosperms"
"1073","287154-2","Zamiaceae","Zamia","standleyi","Zamia standleyi","Schutzman","LC",0.262342755,6.485885359,"subshrub",378781,"Gymnosperms"
"1074","77124589-1","Zamiaceae","Zamia","stevensonii","Zamia stevensonii","A.S.Taylor & Holzman","EN",1.551891689,3.164596541,NA,493672,"Gymnosperms"
"1075","270572-2","Zamiaceae","Zamia","stricta","Zamia stricta","Miq.","VU",0.848380086,3.484548462,"subshrub",378766,"Gymnosperms"
"1076","60458173-2","Zamiaceae","Zamia","tolimensis","Zamia tolimensis","Calonje, H.E.Esquivel & D.W.Stev.","EN",1.501926125,3.315583673,"subshrub",475370,"Gymnosperms"
"1077","270575-2","Zamiaceae","Zamia","tuerckheimii","Zamia tuerckheimii","Donn.Sm.","NT",0.314795641,2.66340623,"subshrub",378772,"Gymnosperms"
"1078","270576-2","Zamiaceae","Zamia","ulei","Zamia ulei","Dammer","LC",0.156392002,3.15049011,"subshrub",378753,"Gymnosperms"
"1079","307164-2","Zamiaceae","Zamia","urep","Zamia urep","B.Walln.","CR",3.235301449,3.481598355,"subshrub",378756,"Gymnosperms"
"1080","297402-1","Zamiaceae","Zamia","variegata","Zamia variegata","Warsz.","EN",1.920178702,4.191247431,"subshrub",378758,"Gymnosperms"
"1081","319963-2","Zamiaceae","Zamia","vazquezii","Zamia vazquezii","D.W.Stev., Sabato & De Luca","CR",2.759379705,2.95008374,"subshrub",378765,"Gymnosperms"
"1082","297405-1","Zamiaceae","Zamia","verschaffeltii","Zamia verschaffeltii","Miq.",NA,0.362613378,1.230352177,"subshrub",378761,"Gymnosperms"
"1083","77176960-1","Zamiaceae","Zamia","wallisii","Zamia wallisii","H.J.Veitch","CR",3.638394521,3.796320784,"subshrub",378782,"Gymnosperms"
